id_softwerk;COD PRODUCTO;NOMBRE PRODUCTO
13388;11114;DOMPERIDONA GOTAS 20 ML
15487;11933;ECUAMON GOTAS X 20 ML
8255;223;EMULSION DERMAGLOS GENERICO 200 ML
4020;ENALA10;ENALAPRIL 10 MG
11264;10922;ENALAPRIL GOTAS X 1 MG
4840;BB365;ENSURE 800G
10465;10465;ENSURE 850
8219;3525;ENSURE PLUS DRINK 220 ML
11033;10799;ENSURE POLVO VAIN 1200 g ABBOTT
14947;11994;Enterogermina Basilusclau ampolla 5ML
3422;MEDE080;ESPESAN LATA X 300 GR.
8986;ESP ANTIBAC;ESPONJA ANTIBACTERIAL
12157;10959;Estestocopio Pediatrico
9044;1267;ESTETOSCOPIO
11038;10968;EXIBRAL 500
11109;10909;Extensión de cánula de 2 metros
11858;10992;Farm X en polvo
16326;107550;Fecula/pefume x 250 gr
13411;11117;FENTAMICINA SOLUCION 30 ML
11974;10993;fijación de malla de grampas reabsorbibles
13900;11901;FILTRO /HME , HYGROBAC S - MEDTRONIC
7939;9064;FILTRO |GIBECK| HUMID VENT MINI (REF. 10011)
10769;10753;FILTRO AB
7886;7400;FILTRO BACTERIANO RESPIRADOR
5184;FILTRO B-PAP;FILTRO BPAP
8824;1690;FILTRO ELECTROSTÁTICO PEDIÁTRICO
16291;EQ;FILTRO ENTRADA PRISMA
6455;FILGIB;FILTRO GIBECK
5474;77;Filtro HME para respirador artificial 2
1741;FILTRO;FILTRO HMEF C/PTO LUER LOCK REF 70313
7558;7368;FILTRO HUMIFICADOR DE TQT PEDIATRICO
7684;9019;FILTRO P/ASPIRADOR SILFAB
8220;3625;FILTRO PARA UNIDAD DE SUCCIÓN 7305 DEVILBISS
14618;11915;FILTRO PEDIATRICO CON PUERTO DE OXIGENO HME
7937;9062;FILTRO TRACHEOLIFE III C/APORTE DE O2 353(19004)
12206;10789;Filtro trasero PB560 original
8150;7388;FILTRO VIRAL BACTERIAL C/ PORT (GALEMED)
16061;10559;FILTROS CONVIDEN 350/5879
9025;9122;FILTROS HUMID P/TRAQUEO TRACH-VENT ( REF. 41312)
16062;10600;FILTROS HUMID VENT 11012
16079;10650;FILTROS PARA TRAQUEOTOMÍA HME (TIPO GIBECK REF.41313)
16037;10841;FILTROS PEDIATRICO HUDSON - GIBECK HME/F (11012)
6490;230;FILTROS TRAQUEO COVIDIENT DAR
16128;10303;FORMULA CETOGENICA EN POLVO KETOCAL 4,1 EN POLVO X 300Grs
7940;9065;FORTISIP MAX |NUTRICIA BAGO| LIBRE DE GLUTEN X 700GR
3819;7545;FRASCO ASPIRADOR/NEBULIZADOR
8152;7391;FRASCO UROCULTIVO ESTERIL 120 CC
16173;10680;FRASCO XILOCAINA ESTERIL
10466;10466;FRASCOS DE ALIMENTACION PICO CRUZ X 500
8165;7406;FREBINI ENERGY DRINK FIBRA FRUTILLA 200
8166;7407;FREBINI ENERGY DRINK FIBRA VAINILLA 200
10947;10761;FREBINI ORIGINAL 500 ML
8922;4547;FRESUBIN 2KCAL CREME
8921;4546;FRESUBIN FIBRA POLVO X 400
14843;11929;Fresubin original fibra 1000ml
3200;10;FRESUBIN ORIGINAL X 1000 ML
9016;9117;FURACIN X 500 ML
11993;10940;Furosemida 40 mg x 30 comp
10948;10762;FUSIMED CREMA
7396;BB108;GASA 10 X 10 1KG
7395;BB107;GASA 15 X 15 1KG
7318;7318;GASA 20 X 20 1 KG
7394;BB106;GASA 5 X 5 1KG
16157;10689;GASA AMD 5,1x5,1cms EXCILON Cod. 7089
8256;224;GASA C/NITROFURAZONA 0,2%
7319;7319;GASA ESTERIL 10 X 10 SOBRE
7320;7320;GASA ESTERIL 20 X 20 SOBRE
10467;10467;GASA ESTERIL 30 X 30 SOBRE
11000;10775;GASA FENESTRADAS 10X10 KENDAL
6218;GASA N/TEJIDA 10X10;GASA NO TEJIDA 10X10
13052;10101;GASA NO TEJIDA 5X5
10468;10468;GASA NO TEJIDA 7,5X7,5
16119;10978;GASA P/ TQT REF 687149 YAFO FENEST
7576;517;GASA PIEZA TUBULAR X 1,5 KG
7993;9093;GASA SINTETICA CURITY 7,5 X 7,5 CM - KENDALL
7943;9068;GASA SINTETICA CURITY VERSALON 10X10
7941;9066;GASA TIPO EXCILON AMD 10X10CM (4X4)
7942;9067;GASA TIPO EXCILON AMD 5X5CM (2X2)
1877;GASA TROZADA;GASA TROZADA 30 X 30 X 1 KG
55;GAS03;Gasa vaselinada
10313;501;GASAS ESTERILES EN SOBRE 15 X 15 CM
2580;D-125;GASAS ESTERILES NO TEJIDAS 10 X 10 YAFHO
6462;GAEXC;GASAS EXCILON AMD 10,2CM X 10,2CM
8257;225;GASAS IODOFORMADAS 10 X 10 CM
16165;10669;GASAS TRAQUEO ESTERIL X 2 SPONGES ANTIMICROBIAL (5X5CM)
8128;486;GEL ALGINATO DE CALCIO
4841;BB-65;GLUCERNA POLVO LATA 400G
3096;A-16;GLUCERNA RTH X 1000 ML
2124;M-18;GLUCOSADA HIPERTONICA 10mg
16160;10569;GUANTE DE NITRILO ESTERIL SIN POLVO 300MM
8135;485;GUANTE DE POLIETILENO MANOPLA (100UNID)
16176;10701;GUANTE ESTERIL 6.5
14942;11991;GUANTE ESTERIL Nº 6
7412;BB125;GUANTE ESTERIL Nº 7
14946;11993;GUANTE ESTERIL Nº 7 (Free Latex)
7688;9023;GUANTE ESTERIL Nº 7,5
14945;11992;GUANTE ESTERIL Nº 7.5 (Free Latex)
7535;7354;GUANTE ESTERIL Nº 8
5809;GUA VIN;GUANTE VINILO L
8180;7805;GUANTE VINILO M
10469;10469;GUANTE VINILO S
7387;BB100;GUANTES DE EXAMINACION M X 100
7416;7336;GUANTES DE EXAMINIACION L X 100
7415;7335;GUANTES DE EXAMINIACION S X 100
8776;4523;GUANTES DE NITRILO X100
10670;10700;Guantes por unidad
11015;10796;Guía fotosensible
7570;511;GUIA MACRO GOTERO (V-14)
11690;10782;GUIA MACRO GOTERO (V-14) K-KAUTION
10470;10470;GUIA MACRO GOTERO (V-14) NOVAMED
8264;238;GUIA MACROGOTERO C/AGUJA TIPO V-13
8825;5100;GUÍA MICROGOTERO (V-17)
464;GUI;GUIA PARA BOMBA ARGIMED P/BIGMAX PM973-009
1977;D-64;GUIA PARA BOMBA DE ALIMENTACION KANGAROO 324
5824;GUIAALPUN;GUIA PARA BOMBA KANGAROO EPUMP REF 775659
16148;10550;GUIAS DE ALIMENTACION B14
8258;228;HEPARINA SODICA 5 ML
2126;M-19;HIDROCORTISONA AMP 500ML
16300;10714;HIDROGEL HODROCOLOIDE COLOPLAST COMFEEL PURILOM GEL 15G
14567;11913;HIERRO POLIMALTOSATO SOLUC
12142;10955;HIOSCINA AMP
13412;11118;HIPOGLOS TALCO X 40 GR
16174;10681;HME ADULTO TQT COVIDIEN DAR TM
4981;BIS;HOJA BISTURI N° 22
5089;10906;HOJAS DE BISTURI N°11
8259;229;IODOPOVIDONA 10% 100 ML
7559;7369;IODOPOVIDONA 10% X 1 LITRO
7567;508;IODOPOVIDONA 10% X 250 ML
7326;7326;IODOPOVIDONA 10% X 500 CC
7689;9024;IODOPOVIDONA 5% SOLUCION JABONOSA 1LITRO
10471;10471;IODOPOVIDONA 5% SOLUCION JABONOSA 500 CC
10472;10472;IODOPOVIDONA 5% SOLUCION JABONOSA X 250 CC
11166;10915;Iodopovidona de 60cc
2042;M-07;IRUXOL UNG 50 GRS
1720;IRUXOL;IRUXOL UNGUENTO 200 GRS
2578;M-26;IRUXOL UNGUENTO X 30 GR
2067;L-17;JABON LIQUIDO 1LT
11175;10916;Jarra humificadora descartable
7536;7355;JERINGA 1 ML TUBERCULINA
7571;512;JERINGA 10 ML
8120;490;JERINGA 1ML CON AGUJA
7572;513;JERINGA 20 ML
7537;7356;JERINGA 3 ML
7573;514;JERINGA 5 ML
7574;515;JERINGA 50/60 ML
7331;7331;JERINGA INSULINA
7332;7332;JERINGA THOOMEY - PICO ANCHO 60CM
8262;234;JERINGAS 10 ML PUNTA LUER LOCK
8263;235;JERINGAS POSIFLUSH 3ML
3211;11;JEVITY PLUS 1000 ML
11122;10912;JEVITY RTH x 1000ml ABBOTT
8917;3696;KIT COVID (CAMISOLIN-BOTAS-COFIA)
16307;10730;KIT NEBULIZACIONES P/ TQT HUDSON REF. 1882
13939;11014;Kit sonda aspiracion G-33 MOD G3335K - N&G
15486;11932;LACLORHEX JABON LIQUIDO X 250 ML
10944;10759;LACTULOM JARABE.
16319;10732;LANOLINA VASELINA UNG. OFT. 3,5 GR
10473;10473;LECHE BIFIDOSA 500
9043;1266;LECHE FORTINI 400GR
16064;10601;LECHE KASS 1000 DESLACTOSASA
16171;10698;LECHE LACTOPTROTEYN X 250 GR
8188;7435;LECHE NAN SIN LACTOSA X 400GRS
16186;10976;LECHE NEOCATE LATA 400GR
4435;NUTRI 2;LECHE NUTRILON 2 PROFUTURA 800GR
10474;10474;LECHE NUTRILON PRO EXPERT X 800GRS
4349;NUTRI 1;LECHE NUTRILON PROFUTURA 1 x 800GR
