Cód. Producto;Producto;costo;ultima actualizacion de precio
10451;CANULA 9.0 CON BALÓN Y ASPIRACIÓN SUBGLOTICA TRACOE (COD 306-09);0.00;19/12/2025
10452;CANULA 9.0 SIN BALON AURINCO;0.00;19/12/2025
10453;CANULA 9.0 SIN BALON SHILEY;0.00;19/12/2025
10454;CANULA 9.0 SIN BALON WELL LEAD;0.00;19/12/2025
C001;CANULA DE TRAQUEOTOMIA  A DEFINIR;0.00;19/12/2025
CANM;CANULA MAYO;0.00;19/12/2025
7309;CANULA N 8  FONATORIA C/CAMISA;43,610.20;19/12/2025
9134;CANULA N8 TRACOE TWIST ASP.SUBGLOTICA (REF 471-08);335,835.62;19/12/2025
C009;CANULA NASAL A  DEFINIR;0.00;19/12/2025
CA NAS A;CANULA NASAL ADULTO (BIGOTERA);883.74;19/12/2025
10890;CANULA NASAL ADULTO (BIGOTERA) KAUTION;883.74;19/12/2025
10790;CANULA NASAL PARA OXIGENO (TIPOK-27N) NEONATAL NOVA MED;702.40;19/12/2025
CA NAS P;CANULA NASAL PEDIATRICA (BIGOTERA);702.40;19/12/2025
10661;CANULA TQT TIPO BIESALSKI Nº7;43,612.26;19/12/2025
10660;CANULA TQT TIPO BIESALSKI Nº8;0.00;19/12/2025
10679;CANZONCILLOS PLENITUD PROTEC PLUS (IINCONTINENCIA INTENSA - AZUL) EG;2,626.50;19/12/2025
O-27;CARGA TUBO DE OXIGENO;0.00;19/12/2025
CAR;CARGAS DE OXIGENO 6 MTS3 CON MANOMETRO;0.00;19/12/2025
LIB102;Carpeta de folios;0.00;19/12/2025
LIB79;Carpeta de presentacion cartulina A4;0.00;19/12/2025
LIB98;CARPETA OFICIO NEGRA;0.00;19/12/2025
LIB 133;Carpeta porta block con tapa a4;3,830.40;22/1/2026
LIB 110;Carpeta presentacion tapa trasparente A4;0.00;19/12/2025
LIB 104;Carpetas colgantes archivos;0.00;19/12/2025
LIB73;Cartucho AMARILLO para impresora Brother DCP T310 - DCP T151;0.00;19/12/2025
LIB71;Cartucho CIAN para impresora Brother DCP T310 - DCP T151;0.00;19/12/2025
LIB72;Cartucho MAGENTA para impresora Brother DCP T310 - DCP T151;0.00;19/12/2025
LIB70;Cartucho NEGRO para impresora Brother DCP T310 - DCP T151;0.00;19/12/2025
LIB67;Cartucho negro para impresora EPSON XP 241;0.00;19/12/2025
10798;CATETER  NEXIVA Nº 20 C/PROLONG BIFURCADO  C/CONECTOR AGUJA LIBRE;0.00;19/12/2025
10967;CATETER COMPACTO (28524);0.00;19/12/2025
9099;CATETER DE MOUNT;5,974.00;19/12/2025
INS 1016;Cateter de mount (ref 331/5661);6,418.96;19/12/2025
10903;CATETER DE SUCCION TIPO k30 C/REG KANGUYAN;566.50;19/12/2025
11030;Cateter embolectomia (Fogarty) 3fr 80cm HAGMED;0.00;19/12/2025
11031;Cateter embolectomia (Fogarty) 4fr 80cm HAGMED;0.00;19/12/2025
10455;CATETER INTRAVENOSO ABBOCATH Nº 14;387.28;19/12/2025
CAT 16;CATETER INTRAVENOSO ABBOCATH Nº 16;387.28;19/12/2025
9837;CATETER INTRAVENOSO ABBOCATH Nº 18;387.28;19/12/2025
500;CATETER INTRAVENOSO ABBOCATH Nº 20;318.40;19/12/2025
9658;CATETER INTRAVENOSO ABBOCATH Nº 22;318.40;19/12/2025
8955;CATETER INTRAVENOSO ABBOCATH Nº 24;387.28;19/12/2025
10780;Catéter kanguyan k30;0.00;19/12/2025
